id;submitdate;lastpage;startlanguage;seed;SAPSUS[SUS01];SAPSUS[SUS02];SAPSUS[SUS03];SAPSUS[SUS04];SAPSUS[SUS05];SAPSUS[SUS06];SAPSUS[SUS07];SAPSUS[SUS08];SAPSUS[SUS09];SAPSUS[SUS10];SAPUEQ[UEQ01];SAPUEQ[UEQ02];SAPUEQ[UEQ03];SAPUEQ[UEQ04];SAPUEQ[UEQ05];SAPUEQ[UEQ06];SAPUEQ[UEQ07];SAPUEQ[UEQ08];OracleSUS[SUS01];OracleSUS[SUS02];OracleSUS[SUS03];OracleSUS[SUS04];OracleSUS[SUS05];OracleSUS[SUS06];OracleSUS[SUS07];OracleSUS[SUS08];OracleSUS[SUS09];OracleSUS[SUS10];OracleUEQ[UEQ01];OracleUEQ[UEQ02];OracleUEQ[UEQ03];OracleUEQ[UEQ04];OracleUEQ[UEQ05];OracleUEQ[UEQ06];OracleUEQ[UEQ07];OracleUEQ[UEQ08];MicrosoftSUS[SUS01];MicrosoftSUS[SUS02];MicrosoftSUS[SUS03];MicrosoftSUS[SUS04];MicrosoftSUS[SUS05];MicrosoftSUS[SUS06];MicrosoftSUS[SUS07];MicrosoftSUS[SUS08];MicrosoftSUS[SUS09];MicrosoftSUS[SUS10];MicrosoftUEQ[UEQ01];MicrosoftUEQ[UEQ02];MicrosoftUEQ[UEQ03];MicrosoftUEQ[UEQ04];MicrosoftUEQ[UEQ05];MicrosoftUEQ[UEQ06];MicrosoftUEQ[UEQ07];MicrosoftUEQ[UEQ08];SalesforceSUS[SUS01];SalesforceSUS[SUS02];SalesforceSUS[SUS03];SalesforceSUS[SUS04];SalesforceSUS[SUS05];SalesforceSUS[SUS06];SalesforceSUS[SUS07];SalesforceSUS[SUS08];SalesforceSUS[SUS09];SalesforceSUS[SUS10];SalesforceUEQ[UEQ01];SalesforceUEQ[UEQ02];SalesforceUEQ[UEQ03];SalesforceUEQ[UEQ04];SalesforceUEQ[UEQ05];SalesforceUEQ[UEQ06];SalesforceUEQ[UEQ07];SalesforceUEQ[UEQ08];Age;Gender;Studies;Studies[other];Semester;ESFamiliarity[SAP];ESFamiliarity[Oracle];ESFamiliarity[Microsoft];ESFamiliarity[Salesforce];UsedOS[MacOS];UsedOS[Win];UsedOS[Linux];UsedOS[iOS];UsedOS[Android];UsedOS[Huawei];UsedOS[other]
156;01.01.80 00:00;34;de;1633431134;2;5;2;6;4;4;2;4;2;6;2;2;3;1;5;5;4;4;2;5;2;5;4;4;3;5;3;5;4;2;4;2;5;5;4;3;4;3;3;5;5;4;4;3;1 (ich stimme garnicht zu);3;4;2;4;2;4;4;3;4;5;4;5;4;5;3;6;3;4;3;4;4;4;2;5;5;3;3;25;Weiblich;Lehramt;;4;3;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Nein;Ja;Nein;
163;01.01.80 00:00;35;de;722176295;2;5;2;6;4;5;2;7 (ich stimme voll und ganz zu);2;7 (ich stimme voll und ganz zu);2;1;5;1;1;1;1;1;5;3;4;3;4;3;3;3;4;6;5;4;7;4;4;5;3;2;3;7 (ich stimme voll und ganz zu);4;3;5;3;3;5;3;5;3;1;7;1;3;4;4;2;4;3;3;3;5;4;4;3;4;4;5;6;5;3;5;5;2;4;18;Männlich;Betriebswirtschaftslehre;;2;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Ja;Ja;Nein;Ja;Nein;Nein;
167;01.01.80 00:00;36;de;1988542707;5;3;2;3;3;1 (ich stimme garnicht zu);2;3;5;3;6;4;5;4;2;2;3;4;5;4;5;1 (ich stimme garnicht zu);5;1 (ich stimme garnicht zu);3;2;5;3;6;3;5;5;4;4;5;4;5;2;7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);5;2;7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);5;1 (ich stimme garnicht zu);6;6;5;6;3;5;3;5;5;1 (ich stimme garnicht zu);6;1 (ich stimme garnicht zu);4;5;7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);4;1 (ich stimme garnicht zu);5;6;4;5;4;4;4;4;19;Männlich;Wirtschaftsinformatik;;2;3;1 (die GUI is mir nicht bekannt);2;1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Ja;Ja;Nein;
168;01.01.80 00:00;37;de;987658132;5;3;5;5;4;3;5;3;4;4;4;4;5;6;4;5;4;3;5;3;4;3;5;4;5;3;5;5;5;5;4;5;4;5;5;7;3;5;1 (ich stimme garnicht zu);6;4;3;2;5;2;7 (ich stimme voll und ganz zu);3;2;4;3;4;4;4;3;2;6;3;5;2;5;3;5;2;5;3;2;3;2;2;1;3;3;20;Männlich;Angewandte Informatik/ Systems Engineering;;1;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Ja;Nein;Nein;Ja;Ja;Nein;
169;01.01.80 00:00;38;de;1783441925;2;6;4;2;3;4;4;4;4;3;4;2;3;3;3;4;6;3;5;3;4;2;5;4;4;2;4;3;4;4;4;4;5;5;5;4;6;3;6;2;6;4;6;2;6;2;7;6;7;7;6;7;5;4;4;3;5;2;6;4;4;3;5;3;7;7;7;7;7;7;7;6;19;Männlich;Lehramt;;2;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Nein;Ja;Nein;
179;01.01.80 00:00;39;de;2125166499;7 (ich stimme voll und ganz zu);2;6;1 (ich stimme garnicht zu);2;1 (ich stimme garnicht zu);5;2;6;2;7;7;7;7;5;6;5;5;1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);6;2;7 (ich stimme voll und ganz zu);2;5;1 (ich stimme garnicht zu);5;1;1;1;1;1;1;1;1;3;7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);3;4;2;3;7 (ich stimme voll und ganz zu);3;6;2;1;4;2;2;2;2;1;5;1 (ich stimme garnicht zu);5;1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);5;3;5;2;5;6;6;6;4;6;5;7;19;Männlich;Angewandte Informatik/ Systems Engineering;;2;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Ja;Ja;Ja;Ja;Ja;Nein;
180;01.01.80 00:00;40;de;699855945;4;3;4;3;6;2;5;2;5;3;6;5;5;5;4;4;4;5;4;3;5;2;6;2;5;3;5;3;5;3;5;5;4;5;4;4;4;2;5;2;5;2;6;4;5;2;5;5;4;5;4;3;3;2;4;2;6;2;4;2;6;3;5;4;4;5;3;6;4;3;3;3;24;Weiblich;Angewandte Informatik/ Systems Engineering;;2;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Ja;Nein;Ja;Nein;
182;01.01.80 00:00;41;de;1855364183;5;4;5;5;4;3;6;3;5;5;5;4;6;5;5;4;3;5;3;3;3;7 (ich stimme voll und ganz zu);4;3;2;5;4;5;4;4;4;3;5;5;5;2;5;3;5;6;4;3;5;2;4;4;5;6;5;6;5;5;2;5;2;6;4;5;2;5;2;5;4;4;4;5;3;4;2;2;2;2;24;Männlich;Angewandte Informatik/ Systems Engineering;;7;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Ja;Nein;Ja;Ja;Nein;Nein;
183;01.01.80 00:00;42;de;1116972634;6;2;6;2;6;2;5;3;6;1 (ich stimme garnicht zu);6;6;6;5;4;4;4;3;5;5;3;2;3;5;3;5;6;3;4;3;4;3;4;4;5;6;7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);6;2;6;1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);6;6;7;7;4;5;4;3;2;6;2;5;2;5;2;6;4;5;6;6;5;6;4;4;5;6;30;Männlich;Lehramt;;8;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Ja;Nein;Ja;Nein;Sailfish OS
194;01.01.80 00:00;43;de;1138305158;4;4;3;1 (ich stimme garnicht zu);4;4;1 (ich stimme garnicht zu);5;4;5;4;3;5;5;5;3;6;6;3;7 (ich stimme voll und ganz zu);2;3;3;5;1 (ich stimme garnicht zu);5;2;7 (ich stimme voll und ganz zu);2;3;3;2;6;6;3;3;4;3;3;1 (ich stimme garnicht zu);3;4;2;3;3;3;5;4;4;5;1;1;1;1;4;2;6;1 (ich stimme garnicht zu);5;3;3;2;4;2;5;6;6;6;5;4;4;6;20;Männlich;Wirtschaftsinformatik;;2;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Nein;Ja;Nein;
199;01.01.80 00:00;44;de;1919269529;4;4;3;5;5;3;1 (ich stimme garnicht zu);4;4;7 (ich stimme voll und ganz zu);4;5;6;6;3;5;4;7;6;2;5;2;7 (ich stimme voll und ganz zu);2;5;3;4;5;6;3;5;6;5;4;2;3;7 (ich stimme voll und ganz zu);4;6;6;5;4;7 (ich stimme voll und ganz zu);7 (ich stimme voll und ganz zu);4;5;6;7;6;5;6;7;6;6;2;5;3;5;1 (ich stimme garnicht zu);5;3;4;4;5;4;4;5;5;4;7;5;3;20;Männlich;Angewandte Informatik/ Systems Engineering;;1;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Nein;Ja;Nein;
200;01.01.80 00:00;45;de;499255293;2;6;2;6;2;6;2;6;3;5;1;2;2;1;2;2;6;6;5;3;4;3;4;3;3;4;3;3;5;2;3;2;4;5;6;4;6;2;6;2;5;2;5;3;5;3;5;6;6;6;5;5;4;6;6;1 (ich stimme garnicht zu);6;2;6;2;6;1 (ich stimme garnicht zu);6;2;6;7;7;6;6;6;6;6;26;Männlich;Wirtschaftsinformatik;;2;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Nein;Ja;Nein;
201;01.01.80 00:00;46;de;100026499;5;4;3;7 (ich stimme voll und ganz zu);6;3;5;4;4;6;4;5;5;3;3;4;4;6;2;7 (ich stimme voll und ganz zu);5;5;3;4;2;5;4;4;2;3;3;4;1;1;3;4;6;2;6;3;5;3;6;2;6;3;3;6;4;2;4;5;3;4;5;1 (ich stimme garnicht zu);6;2;5;3;7 (ich stimme voll und ganz zu);2;6;2;6;6;5;6;4;5;6;6;18;Männlich;Wirtschaftsinformatik;;2;2;1 (die GUI is mir nicht bekannt);5;1 (die GUI is mir nicht bekannt);Nein;Ja;Ja;Ja;Nein;Nein;
202;01.01.80 00:00;47;de;1729398272;5;4;2;6;4;4;2;4;3;5;4;3;5;5;2;3;4;4;3;4;3;3;3;4;4;5;6;2;5;4;4;2;2;2;3;4;1 (ich stimme garnicht zu);5;3;6;4;4;4;5;1 (ich stimme garnicht zu);3;3;3;4;2;4;4;4;3;1 (ich stimme garnicht zu);6;1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);3;4;2;7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);6;3;5;2;4;1;1;4;4;25;Männlich;Betriebswirtschaftslehre;;14;2;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Nein;Nein;Nein;
203;01.01.80 00:00;48;de;163831842;7 (ich stimme voll und ganz zu);2;7 (ich stimme voll und ganz zu);2;6;2;7 (ich stimme voll und ganz zu);3;6;3;6;7;6;7;6;6;5;4;5;3;5;5;4;5;5;5;4;4;3;4;4;4;3;5;3;4;6;2;7 (ich stimme voll und ganz zu);2;6;3;6;2;5;2;7;7;6;7;4;6;5;5;3;3;4;4;5;4;3;4;5;5;6;5;6;6;5;6;4;4;20;Weiblich;Betriebswirtschaftslehre;;2;3;1 (die GUI is mir nicht bekannt);3;1 (die GUI is mir nicht bekannt);Ja;Nein;Nein;Ja;Nein;Nein;
204;01.01.80 00:00;49;de;1691736903;6;3;3;5;5;4;3;4;4;5;7;3;7;3;7;7;5;7;5;4;3;3;4;4;4;5;3;5;5;5;7;4;6;6;6;5;4;4;5;5;5;3;3;3;4;5;6;6;6;4;6;6;3;5;6;2;5;2;6;2;5;2;5;3;5;6;6;6;6;6;5;6;19;Männlich;Betriebswirtschaftslehre;;2;2;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Ja;Nein;Nein;Ja;Nein;Nein;
207;01.01.80 00:00;50;de;175898482;4;3;4;4;4;2;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;19;Männlich;Betriebswirtschaftslehre;;2;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Nein;Ja;Nein;
208;01.01.80 00:00;51;de;1381947788;4;5;3;5;5;3;2;5;3;6;4;2;4;4;6;6;4;5;3;3;3;3;4;3;4;4;3;6;4;4;5;5;6;6;4;3;3;3;3;3;3;3;2;5;3;4;3;3;3;3;6;6;4;2;3;3;4;4;4;3;5;2;5;3;5;5;4;6;5;6;4;4;21;Weiblich;Betriebswirtschaftslehre;;6;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Ja;Ja;Nein;
209;01.01.80 00:00;52;de;2074651701;4;5;2;3;3;4;1 (ich stimme garnicht zu);5;2;7 (ich stimme voll und ganz zu);3;2;6;2;6;4;4;2;2;2;4;2;5;2;4;3;3;6;3;3;5;3;2;4;1;1;3;5;3;1 (ich stimme garnicht zu);4;2;3;6;3;5;5;4;6;6;3;6;5;5;3;5;5;1 (ich stimme garnicht zu);4;3;6;2;4;3;6;2;4;6;6;3;4;5;21;Männlich;Betriebswirtschaftslehre;;2;2;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Ja;Ja;Nein;Ja;Nein;Nein;
212;01.01.80 00:00;53;de;1313183042;2;1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);2;3;7 (ich stimme voll und ganz zu);2;6;2;5;2;6;7;5;5;7;6;3;5;6;2;4;6;7 (ich stimme voll und ganz zu);4;6;7 (ich stimme voll und ganz zu);5;4;6;6;7;4;2;3;1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);4;5;2;7 (ich stimme voll und ganz zu);3;5;2;7 (ich stimme voll und ganz zu);2;6;1;2;7;2;2;3;7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);5;4;5;4;5;6;5;5;28;Männlich;Angewandte Informatik/ Systems Engineering;;1;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);2;1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Ja;Ja;Nein;
214;01.01.80 00:00;54;de;223724362;3;3;4;3;4;3;3;2;3;4;4;4;4;5;5;5;2;4;1 (ich stimme garnicht zu);2;4;2;2;3;4;3;3;2;3;3;2;4;2;2;2;2;2;4;3;2;4;2;2;4;3;5;4;4;3;4;4;5;2;2;2;3;4;2;2;2;6;4;5;2;6;6;5;7;5;5;3;5;27;Männlich;Betriebswirtschaftslehre;;4;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);3;1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Ja;Nein;Nein;
217;01.01.80 00:00;55;de;808173246;3;5;2;5;2;6;3;5;2;6;4;2;2;2;2;2;1;1;2;2;3;2;5;3;4;2;4;5;6;6;5;6;2;3;2;2;4;3;5;2;5;1 (ich stimme garnicht zu);6;4;5;2;6;5;6;2;4;5;5;3;5;2;6;2;5;2;5;2;5;3;6;7;6;6;5;6;6;6;22;Männlich;Wirtschaftsinformatik;;4;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);4 (ich habe die GUI schon einige Male verwendet);1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Ja;Ja;Nein;
218;01.01.80 00:00;56;de;954669019;5;3;5;7 (ich stimme voll und ganz zu);6;2;6;6;6;7 (ich stimme voll und ganz zu);6;5;6;5;5;6;7;7;3;4;2;7 (ich stimme voll und ganz zu);3;5;6;3;5;7 (ich stimme voll und ganz zu);5;3;5;2;4;5;4;4;4;2;6;6;6;2;5;5;5;7 (ich stimme voll und ganz zu);5;6;5;6;2;5;4;3;1 (ich stimme garnicht zu);1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);2;2;6;7 (ich stimme voll und ganz zu);7 (ich stimme voll und ganz zu);2;2;5;6;3;6;5;4;1;3;21;Männlich;Angewandte Informatik/ Systems Engineering;;1;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);2;Nein;Ja;Nein;Nein;Nein;Nein;
219;01.01.80 00:00;57;de;659675092;7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);7 (ich stimme voll und ganz zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);3;5;7 (ich stimme voll und ganz zu);7;6;7;7;6;7;2;7;7 (ich stimme voll und ganz zu);5;3;1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);2;7 (ich stimme voll und ganz zu);3;4;6;5;3;7;4;7;6;1;7;6;7 (ich stimme voll und ganz zu);7 (ich stimme voll und ganz zu);2;7 (ich stimme voll und ganz zu);4;7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);5;1 (ich stimme garnicht zu);7;5;6;3;7;7;7;1;7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);7 (ich stimme voll und ganz zu);2;1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);5;4;1 (ich stimme garnicht zu);7;7;6;7;5;7;7;4;19;Weiblich;Betriebswirtschaftslehre;;2;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);4 (ich habe die GUI schon einige Male verwendet);1 (die GUI is mir nicht bekannt);Ja;Ja;Nein;Ja;Ja;Nein;
220;01.01.80 00:00;58;de;1687446008;6;2;5;2;2;2;5;2;5;4;6;6;6;6;6;6;4;5;4;4;4;3;5;2;4;3;5;5;5;4;4;4;5;5;3;3;7 (ich stimme voll und ganz zu);2;6;2;5;1 (ich stimme garnicht zu);5;1 (ich stimme garnicht zu);6;2;7;7;7;7;6;7;5;5;4;3;5;3;5;2;4;3;4;4;5;5;6;7;6;6;5;5;19;Männlich;Wirtschaftsinformatik;;4;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Ja;Nein;Nein;
221;01.01.80 00:00;59;de;1466358991;3;5;2;2;3;3;2;5;4;4;4;3;5;3;3;2;1;2;4;3;5;3;4;3;4;3;4;3;5;3;5;4;4;5;3;2;5;2;6;2;6;2;6;1 (ich stimme garnicht zu);6;3;5;5;7;6;6;5;4;6;5;2;6;2;6;2;6;2;6;3;5;7;5;7;5;6;4;4;21;Männlich;Wirtschaftsinformatik;;5;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Ja;Ja;Nein;Ja;Nein;Nein;
225;01.01.80 00:00;60;de;1603279196;7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);7;7;7;4;6;4;6;5;3;2;4;7 (ich stimme voll und ganz zu);3;4;5;4;4;4;4;3;5;3;4;4;4;2;7 (ich stimme voll und ganz zu);2;7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);4;7 (ich stimme voll und ganz zu);2;7;7;7;7;5;7;7;6;1 (ich stimme garnicht zu);6;4;1 (ich stimme garnicht zu);4;4;5;4;2;1 (ich stimme garnicht zu);3;7;5;4;4;4;5;2;23;Weiblich;Angewandte Informatik/ Systems Engineering;;4;3;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Ja;Ja;Nein;
227;01.01.80 00:00;61;de;35422282;6;2;5;3;6;2;5;3;6;2;6;6;6;6;5;5;4;5;4;4;5;3;5;4;5;4;5;3;6;5;5;5;4;4;3;3;5;2;6;2;5;4;5;2;5;2;5;6;6;6;5;6;4;4;5;2;6;2;6;2;6;2;6;2;6;7;7;7;6;6;4;4;22;Weiblich;Betriebswirtschaftslehre;;2;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Nein;Ja;Nein;
235;01.01.80 00:00;62;de;308419125;5;3;5;4;5;3;5;3;4;4;6;5;6;6;6;5;5;5;4;4;4;4;4;3;3;3;4;4;5;4;5;5;4;5;4;4;4;6;4;5;5;2;5;4;5;5;5;4;6;5;5;5;5;5;3;3;4;4;3;4;3;3;3;3;6;5;6;6;5;5;4;4;22;Weiblich;Betriebswirtschaftslehre;;2;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Nein;Ja;Nein;Nein;Ja;Nein;
236;01.01.80 00:00;63;de;312441597;5;4;4;5;5;1 (ich stimme garnicht zu);4;4;5;4;7;6;6;6;5;6;5;6;6;2;6;5;5;3;3;2;6;4;4;5;4;5;3;5;2;4;7 (ich stimme voll und ganz zu);3;4;5;4;3;7 (ich stimme voll und ganz zu);3;7 (ich stimme voll und ganz zu);7 (ich stimme voll und ganz zu);4;7;7;7;7;7;6;6;1 (ich stimme garnicht zu);1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);4;1 (ich stimme garnicht zu);7 (ich stimme voll und ganz zu);3;7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);7;6;5;7;7;7;6;7;41;Männlich;Wirtschaftsinformatik;;4;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Ja;Nein;Nein;Nein;Nein;Nein;
237;01.01.80 00:00;64;de;1821787197;5;1 (ich stimme garnicht zu);5;2;2;2;6;4;4;2;6;4;6;6;4;6;4;4;2;6;3;5;3;4;3;5;3;3;3;3;5;3;3;3;2;2;4;4;5;5;4;4;6;4;5;4;4;4;4;4;4;4;4;4;4;1 (ich stimme garnicht zu);4;3;5;3;7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);5;4;6;7;6;7;5;7;7;4;23;Männlich;Betriebswirtschaftslehre;;6;1 (die GUI is mir nicht bekannt);3;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Ja;Ja;Nein;Ja;Nein;Nein;
238;01.01.80 00:00;65;de;168598228;4;4;3;5;4;4;5;4;4;4;5;5;4;5;4;5;4;4;3;4;3;5;3;4;3;5;3;5;3;5;3;3;3;3;3;3;3;5;3;6;3;3;3;4;3;5;4;4;4;5;3;3;4;4;3;4;2;4;3;4;3;4;4;5;7;5;7;7;4;7;7;4;19;Weiblich;Betriebswirtschaftslehre;;2;4 (ich habe die GUI schon einige Male verwendet);2;2;2;Ja;Nein;Nein;Ja;Nein;Nein;
239;01.01.80 00:00;66;de;1404069848;6;2;5;4;6;2;4;4;5;5;5;5;6;7;3;5;6;4;3;5;3;5;5;4;3;3;3;5;3;2;4;2;5;3;5;5;4;2;5;2;5;2;5;2;4;3;4;5;3;4;5;5;3;2;5;2;4;3;5;3;6;3;5;4;4;6;4;5;2;3;2;2;18;Männlich;Angewandte Informatik/ Systems Engineering;;1;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Ja;Ja;Nein;Ja;Ja;Nein;
240;01.01.80 00:00;67;de;428680854;6;2;5;6;5;3;6;2;6;6;5;4;5;4;5;6;4;4;6;2;4;6;6;2;7 (ich stimme voll und ganz zu);1 (ich stimme garnicht zu);6;5;6;4;5;5;6;5;4;5;4;6;4;6;3;4;3;6;4;6;4;2;4;2;3;4;4;3;6;2;2;2;6;3;6;1 (ich stimme garnicht zu);6;2;5;6;6;6;4;6;6;4;19;Weiblich;Betriebswirtschaftslehre;;4;1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);1 (die GUI is mir nicht bekannt);Ja;Ja;Nein;Ja;Nein;Nein;
241;01.01.80 00:00;68;de;1172639333;3;4;4;4;5;5;4;4;4;5;4;4;3;5;4;5;4;4;4;4;5;5;4;5;4;4;4;5;4;5;4;5;4;5;5;4;4;2;5;2;5;3;5;3;4;3;5;5;5;5;4;4;5;4;3;4;4;5;4;3;5;5;4;5;4;5;4;4;5;2;4;4;20;Männlich;Betriebswirtschaftslehre;;2;2;2;2;2;Nein;Nein;Nein;Nein;Ja;Nein;
